rang,titre,nationalité,sortie,entrées (millions)
1,SUPER MARIO BROS. LE FILM,ETATS UNIS,2023-04-05,7.25
2,BARBIE,GRANDE BRETAGNE,2023-07-19,5.87
3,AVATAR : LA VOIE DE L'EAU,ETATS UNIS,2022-12-14,5.22
4,ASTERIX ET OBELIX ET L'EMPIRE DU MILIEU,FRANCE,2023-02-01,4.61
5,OPPENHEIMER,ETATS UNIS,2023-07-19,4.46
6,ALIBI.COM 2,FRANCE,2023-02-08,4.28
7,LES GARDIENS DE LA GALAXIE : VOLUME 3,ETATS UNIS,2023-05-03,3.45
8,LES TROIS MOUSQUETAIRES - D'ARTAGNAN,FRANCE,2023-04-05,3.44
9,ELEMENTAIRE,ETATS UNIS,2023-06-21,3.2
10,INDIANA JONES ET LE CADRAN DE LA DESTINEE,ETATS UNIS,2023-06-28,2.96
11,MISSION IMPOSSIBLE DEAD RECKONING PARTIE 1,ETATS UNIS,2023-07-12,2.62
12,PAW PATROL : LA SUPER PATROUILLE - LE FILM,ETATS UNIS,2023-10-11,2.31
13,CREED III,ETATS UNIS,2023-03-01,2.3
14,FAST & FURIOUS X,GRANDE BRETAGNE,2023-05-17,2.27
15,WONKA,GRANDE BRETAGNE,2023-12-13,2.15
16,"WISH, ASHA ET LA BONNE ETOILE",ETATS UNIS,2023-11-29,2.13
17,SPIDER-MAN : ACROSS THE SPIDER-VERSE,ETATS UNIS,2023-05-31,1.94
18,3 JOURS MAX,FRANCE,2023-10-25,1.89
19,LA PETITE SIRENE,ETATS UNIS,2023-05-24,1.73
20,LES TROIS MOUSQUETAIRES - MILADY,FRANCE,2023-12-13,1.68
21,EN EAUX TRES TROUBLES,CHINE,2023-08-02,1.65
22,MIRACULOUS LE FILM,FRANCE,2023-07-05,1.65
23,HUNGER GAMES : LA BALLADE DU SERPENT ET DE L'OISEAU CHANTEUR,ETATS UNIS,2023-11-15,1.64
24,NAPOLEON,ETATS UNIS,2023-11-22,1.6
25,ANT-MAN ET LA GUEPE : QUANTUMANIA,ETATS UNIS,2023-02-15,1.57
26,LE GARCON ET LE HERON,JAPON,2023-11-01,1.55
27,BABYLON,ETATS UNIS,2023-01-18,1.51
28,LES TROLLS 3,ETATS UNIS,2023-10-18,1.46
29,ANATOMIE D'UNE CHUTE,FRANCE,2023-08-23,1.3
30,KILLERS OF THE FLOWER MOON,ETATS UNIS,2023-10-18,1.27
31,TIRAILLEURS,FRANCE / SENEGAL,2023-01-04,1.19
32,SCREAM VI,ETATS UNIS,2023-03-08,1.19
33,DONJONS & DRAGONS : L'HONNEUR DES VOLEURS,ETATS UNIS,2023-04-12,1.19
34,JE VERRAI TOUJOURS VOS VISAGES,FRANCE,2023-03-29,1.18
35,GRAN TURISMO,ETATS UNIS,2023-08-09,1.18
36,LA NONNE 2,ETATS UNIS,2023-09-13,1.15
37,TRANSFORMERS : RISE OF THE BEASTS,ETATS UNIS,2023-06-07,1.14
38,AQUAMAN ET LE ROYAUME PERDU,GRANDE BRETAGNE,2023-12-20,1.11
39,MON CRIME,FRANCE,2023-03-08,1.1
40,LE REGNE ANIMAL,FRANCE,2023-10-04,1.06
41,SUR LES CHEMINS NOIRS,FRANCE,2023-03-22,1.06
42,JOHN WICK : CHAPITRE 4,ETATS UNIS,2023-03-22,1.05
43,LE CHAT POTTE 2 : LA DERNIERE QUETE,ETATS UNIS,2022-12-07,1.02
