Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Gold,2024-11-08,Akhmed TAZHUDINOV,H,Wrestling,Men's Freestyle 97kg,Bahrain,BRN,3
Silver,2024-09-08,Yeison LOPEZ,H,Weightlifting,Men's 89kg,Colombia,COL,2
Bronze,2024-06-08,Sky BROWN,F,Skateboarding,Women's Park,Great Britain,GBR,1
Gold,2024-09-08,Asadkhuja MUYDINKHUJAEV,H,Boxing,Men's 71kg,Uzbekistan,UZB,3
Gold,2024-10-08,Bakhodir JALOLOV,H,Boxing,Men's +92kg,Uzbekistan,UZB,3
Silver,2024-07-31,Miriam BUTKEREIT,F,Judo,Women -70 kg,Germany,GER,2
Gold,2024-07-08,Oleksandr KHYZHNIAK,H,Boxing,Men's 80kg,Ukraine,UKR,3
Bronze,2024-06-08,Buse CAVUSOGLU TOSUN,F,Wrestling,Women's Freestyle 68kg,Türkiye,TUR,1
Bronze,2024-04-08,Iryna GERASHCHENKO,F,Athletics,Women's High Jump,Ukraine,UKR,1
Silver,2024-07-29,Victor LINDGREN,H,Shooting,10m Air Rifle Men,Sweden,SWE,2
Gold,2024-08-08,Ulugbek RASHITOV,H,Taekwondo,Men -68kg,Uzbekistan,UZB,3
Gold,2024-05-08,AN Se Young,F,Badminton,Women's Singles,Korea,KOR,3
Gold,2024-09-08,VARFOLOMEEV Darja,F,Rhythmic Gymnastics,Individual All-Around,Germany,GER,3
Silver,2024-08-08,Weeraphon WICHUMA,H,Weightlifting,Men's 73kg,Thailand,THA,2
Gold,2024-09-08,Marileidy PAULINO,F,Athletics,Women's 400m,Dominican Republic,DOM,3
Bronze,2024-04-08,Harry HEPWORTH,H,Artistic Gymnastics,Men's Vault,Great Britain,GBR,1
Bronze,2024-04-08,Davlat BOLTAEV,H,Boxing,Men's 92kg,Tajikistan,TJK,1
Bronze,2024-08-08,LIANG Yushuai,H,Taekwondo,Men -68kg,China,CHN,1
Gold,2024-07-08,Roje STONA,H,Athletics,Men's Discus Throw,Jamaica,JAM,3
Silver,2024-08-08,WU Peng,H,Sport Climbing,Men's Speed,China,CHN,2
Bronze,2024-09-08,SONG Jiayuan,F,Athletics,Women's Shot Put,China,CHN,1
Bronze,2024-07-08,FENG Ziqi,F,Wrestling,Women's Freestyle 50kg,China,CHN,1
Silver,2024-09-08,NICKA,F,Breaking,B-Girls,Lithuania,LTU,2
Silver,2024-07-08,Nurbek ORALBAY,H,Boxing,Men's 80kg,Kazakhstan,KAZ,2
Bronze,2024-07-28,Mohamed ELSAYED,H,Fencing,Men's Épée Individual,Egypt,EGY,1
Bronze,2024-08-08,Caitlin PARKER,F,Boxing,Women's 75kg,Australia,AUS,1
Silver,2024-09-08,Isaquias QUEIROZ,H,Canoe Sprint,Men's Canoe Single 1000m,Brazil,BRA,2
Gold,2024-05-08,Rebeca ANDRADE,F,Artistic Gymnastics,Women's Floor Exercise,Brazil,BRA,3
Gold,2024-02-08,Beatriz SOUZA,F,Judo,Women +78 kg,Brazil,BRA,3
Bronze,2024-10-08,Georgia BELL,F,Athletics,Women's 1500m,Great Britain,GBR,1
Bronze,2024-03-08,Jade CAREY,F,Artistic Gymnastics,Women's Vault,United States,USA,1
Bronze,2024-03-08,Luuc van OPZEELAND,H,Sailing,Men's Windsurfing,Netherlands,NED,1
Gold,2024-11-08,Sifan HASSAN,F,Athletics,Women's Marathon,Netherlands,NED,3
Bronze,2024-06-08,RI Se Ung,H,Wrestling,Men's Greco-Roman 60kg,DPR Korea,PRK,1
Gold,2024-10-08,Janja GARNBRET,F,Sport Climbing,Women's Boulder & Lead,Slovenia,SLO,3
Bronze,2024-08-08,Hungary,F,Canoe Sprint,Women's Kayak Four 500m,Hungary,HUN,1
Bronze,2024-07-08,Italy,H,Cycling Track,Men's Team Pursuit,Italy,ITA,1
